After Indexing Keywords for,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineeringWe have:

Index	Keywords
351	simulating behaviour	
352	behaviour many	
353	many everyday	
354	everyday processes	
355	processes have	
356	a basis	
357	basis in	
358	in computing	
359	computing while	
360	while advances	
361	advances in	
362	in electronics	
363	electronics have	
364	have made	
365	made the	
366	the internet	
367	internet innovative	
368	innovative telecommunications	
369	telecommunications and	
370	and inexpensive	
371	inexpensive computing	
372	computing possible	
373	possible .	
374	. At	
375	At Essex	
376	Essex we	
377	we teach	
378	teach and	
379	research at	
380	at undergraduate	
381	undergraduate masters	
382	masters and	
383	and postgraduate	
384	postgraduate research	
385	research levels	
386	levels in	
387	in all	
388	all these	
389	these areas	
390	areas and	
391	more .	
392	Our research	
393	research is	
394	is changing	
395	changing people	
396	people s	
397	s lives	
398	lives and	
399	and underpins	
400	underpins tomorrow	
401	tomorrow s	
402	s must	
403	must have	
404	have technologies	
405	technologies .	
406	. Research	
407	Research and	
408	and development	
409	development has	
410	has to	
411	to stay	
412	stay one	
413	one step	
414	step ahead	
415	ahead of	
416	the industry	
417	industry so	
418	so our	
419	our curriculum	
420	curriculum is	
421	is constantly	
422	constantly evolving	
423	evolving .	
424	Our work	
425	work is	
426	is driven	
427	driven by	
428	by creativity	
429	creativity and	
430	and imagination	
431	imagination as	
432	as technical	
433	technical excellence	
434	excellence we	
435	we re	
436	re not	
437	not your	
438	your typical	
439	typical geeks	
440	geeks You	
441	You ll	
442	ll have	
443	a unique	
444	unique experience	
445	experience here	
446	here as	
447	as inspiring	
448	inspiring purpose	
449	purpose built	
450	built facilities	
451	facilities consistently	
452	consistently top	
453	top ranking	
454	ranking levels	
455	levels of	
456	of student	
457	student satisfaction	
458	satisfaction and	
459	a curriculum	
460	curriculum that	
461	that is	
462	is led	
463	led by	
464	the needs	
465	needs of	
466	of industry	
467	industry .	
468	Our courses	
469	courses are	
470	are guided	
471	guided by	
472	by an	
473	an Industrial	
474	Industrial Advisory	
475	Advisory Board	
476	Board of	
477	of experts	
478	experts which	
479	which includes	
480	includes representatives	
481	representatives from	
482	from companies	
483	companies such	
484	as Intel	
485	Intel .	
486	. Regardless	
487	Regardless of	
488	the study	
489	study path	
490	path you	
491	you choose	
492	choose you	
493	you ll	
494	ll develop	
495	develop the	
496	the skills	
497	skills and	
498	and principles	
499	principles for	
500	for a	
501	a rewarding	
502	rewarding career	
503	career .	
504	As a	
505	our student	
506	student and	
507	research community	
508	community you	
509	you will	
510	will benefit	
511	benefit from	
512	our exceptional	
513	exceptional laboratories	
514	laboratories and	
515	have several	
516	several computer	
517	computer labs	
518	labs that	
519	that are	
520	are exclusively	
521	exclusively for	
522	for our	
523	School s	
524	s students	
525	students .	
526	We also	
527	also have	
528	specialist facilities	
529	facilities in	
530	the areas	
531	areas of	
532	of brain	
533	brain computer	
534	computer interfaces	
535	interfaces robotics	
536	robotics embedded	
537	embedded systems	
538	systems lasers	
539	lasers photonics	
540	photonics and	
541	and networking	
542	networking and	
543	a laboratory	
544	laboratory based	
545	based teaching	
546	teaching and	
547	research Centre	
548	for Computational	
549	Computational Finance	
550	Finance and	
551	and Economic	
552	Economic Agents	
553	Agents .	
554	View our	
555	courses Why	
556	Why choose	
557	choose us	
558	us University	
559	the Year	
560	Year Times	
561	Times Higher	
562	Higher Education	
563	Education Awards	
564	Awards 2018	
565	2018 Top	
566	Top 15	
567	15 for	
568	for Electronic	
569	Engineering TGUG	
570	TGUG 2019	
571	2019 Study	
572	abroad and	
573	and industry	
574	industry placement	
575	placement year	
576	year opportunities	
577	opportunities 88	
578	88 of	
579	students are	
580	in professional	
581	professional employment	
582	employment or	
583	or postgraduate	
584	postgraduate study	
585	study within	
586	within six	
587	six months	
588	months of	
589	of graduating	
590	graduating from	
591	from Essex	
592	Essex DLHE	
593	DLHE 2017	
594	2017 Specialist	
595	Specialist labs	
596	facilities Undergraduate	
597	study Unexpectedly	
598	Unexpectedly creative	
599	creative Flexible	
600	Flexible accredited	
601	accredited courses	
602	courses allowing	
603	allowing you	
604	you to	
605	to choose	
606	choose your	
607	your own	
608	own path	
609	path of	
610	of specialisation	
611	specialisation .	
612	. Masters	
613	study Driven	
614	Driven by	
615	by imagination	
616	imagination Explore	
617	Explore our	
618	our specialist	
619	specialist taught	
620	taught Masters	
621	Masters courses	
622	courses combining	
623	combining formal	
624	formal instruction	
625	instruction with	
626	with a	
627	a supervised	
628	supervised research	
629	research project	
630	. PhD	
631	PhD study	
632	study A	
633	A creative	
634	creative powerhouse	
635	powerhouse We	
636	We provide	
637	provide an	
638	an active	
639	active and	
640	and stimulating	
641	stimulating environment	
642	environment to	
643	to carry	
644	carry out	
645	out your	
646	your doctoral	
647	doctoral research	
648	research and	
649	and have	
650	have an	
651	an extensive	
652	extensive range	
653	range of	
654	specialist labs	
655	The CSEE	
656	CSEE community	
657	community both	
658	both students	
659	and staff	
660	staff are	
661	are committed	
662	committed to	
663	to making	
664	making wonderful	
665	wonderful things	
666	things for	
667	the benefit	
668	benefit of	
669	of society	
670	society .	
671	Our education	
672	education and	
673	research strengths	
674	strengths are	
675	are based	
676	based on	
677	on people	
678	people working	
679	working together	
680	together in	
681	in a	
682	a safe	
683	safe environment	
684	environment designed	
685	designed to	
686	to provide	
687	provide inquisitive	
688	inquisitive minds	
689	minds with	
690	the opportunities	
691	opportunities to	
692	to use	
693	use their	
694	their imagination	
695	imagination to	
696	to be	
697	be creative	
698	creative .	
699	. Come	
700	Come along	
701	along for	
702	the ride	
703	ride of	
704	of your	
705	your life	
706	life Professor	
707	Professor Anthony	
708	Anthony Vickers	
709	Vickers Head	
710	of school	
711	school Expertise	
712	business Use	
713	Use our	
714	our research	
715	research to	
716	help you	
717	you innovate	
718	innovate from	
719	from placements	
720	placements and	
721	and internships	
722	internships to	
723	to Knowledge	
724	Transfer Partnerships	
725	Partnerships .	
726	. WISE	
727	WISE membership	
728	membership We	
729	have joined	
730	joined the	
731	the WISE	
732	WISE campaign	
733	campaign to	
734	help us	
735	us progress	
736	progress our	
737	our gender	
738	gender equality	
739	equality work	
740	work .	
741	. Membership	
742	Membership means	
743	means we	
744	we can	
745	can raise	
746	raise the	
747	the profile	
748	profile of	
749	our female	
750	female STEM	
751	STEM staff	
752	staff as	
753	as WISE	
754	WISE role	
755	role models	
756	models and	
757	and link	
758	link them	
759	them to	
760	to our	
761	our community	
762	community .	
763	. Career	
764	Career Development	
765	Development In	
766	In response	
767	response to	
768	University Athena	
769	Athena SWAN	
770	SWAN initiative	
771	initiative a	
772	a selection	
773	selection of	
774	of resources	
775	resources were	
776	were created	
777	created offering	
778	offering support	
779	support networks	
780	networks training	
781	training and	
782	funding opportunities	
783	opportunities specifically	
784	specifically for	
785	for women	
786	women .	
787	. Latest	
788	Latest news	
789	news Computer	
790	Science student	
791	student hopes	
792	hopes to	
793	to shape	
794	shape the	
795	the future	
796	future of	
797	of wireless	
798	wireless technology	
799	technology robotics	
800	robotics and	
801	and AI	
802	AI thanks	
803	thanks to	
804	to mobility	
805	mobility awards	
806	awards 20	
807	20 Feb	
808	2019 First	
809	First prosthetic	
810	prosthetic hand	
811	hand with	
812	with tactile	
813	tactile sensations	
814	sensations and	
815	and dexterity	
816	dexterity successfully	
817	successfully implanted	
818	implanted 05	
819	05 Feb	
820	2019 Economic	
821	Economic and	
822	and Social	
823	Social Research	
824	Research Council	
825	Council awards	
826	awards Essex	
827	Essex new	
828	new round	
829	round of	
830	of funding	
831	funding to	
832	to boost	
833	boost research	
834	research impact	
835	impact 31	
836	31 Jan	
837	Jan 2019	
838	2019 Get	
839	Get in	
840	in touch	
841	touch with	
842	with us	
843	us If	
844	like any	
845	any more	
846	more information	
847	information about	
848	about Computer	
849	Engineering or	
850	or have	
851	question you	
852	like to	
853	to ask	
854	ask please	
855	please complete	
856	complete this	
857	this short	
858	short enquiry	
859	enquiry form	
860	form .	
861	. Ask	
862	Ask us	
863	us a	
864	question Click4Assistance	
865	Click4Assistance UK	
866	UK Live	
867	Live Chat	
868	Chat Software	
869	Software Contact	
870	Contact our	
871	Engineering Colchester	
872	Campus Wivenhoe	
873	Colchester Essex	
874	Essex CO4	
875	3SQ All	
876	All enquiries	
877	enquiries Telephone	
878	Telephone 01206	
879	01206 872770	
880	872770 WE	
881	WE ARE	
882	ARE ESSEX	
883	ESSEX ARE	
884	ARE YOU	
885	YOU Get	
886	Get a	
887	a prospectus	
888	prospectus Register	
889	Register for	
890	an Open	
891	Open Day	
892	Day STUDY	
893	STUDY Browse	
894	Browse our	
895	subject area	
896	area Undergraduate	
897	online Find	
898	course LIFE	
899	LIFE Essex	
900	services RESEARCH	
901	RESEARCH Research	
902	centres EXPLORE	
903	EXPLORE About	
904	us Departments	
905	Departments Contact	
906	us How	
907	How to	
908	to pay	
909	pay your	
910	your fees	
911	fees Jobs	
912	Jobs A	
913	A Z	
914	Z Students	
915	Staff Business	
916	Business CONTACT	
917	CONTACT US	
918	US Contact	
919	Contact General	
920	General enquiries	
921	enquiries essex.ac.uk	
922	essex.ac.uk Undergraduate	
923	Undergraduate admit	
924	admit essex.ac.uk	
925	essex.ac.uk Postgraduate	
926	Postgraduate pgadmit	
927	pgadmit essex.ac.uk	
928	essex.ac.uk 44	
929	44 0	
930	0 1206	
931	1206 873333	
932	873333 University	
933	Essex Wivenhoe	
934	3SQ Privacy	
935	Privacy and	
936	and Cookie	
937	Cookie Policy	
938	Policy Disclaimer	
939	Disclaimer CONNECT	
940	CONNECT WITH	
941	WITH US	
942	US 2019	
943	2019 University	
944	Essex .	
945	. All	
946	All rights	
947	rights reserved	
948	Kruschwitz Web	
949	Web search	
950	search technology	
951	technology search	
952	search engines	
953	engines YPA	
954	YPA Information	
955	Retrieval IR	
956	IR Knowledge	
957	Extraction Ontologies	
958	Ontologies Research	
959	Information Intelligent	
960	Retrieval Springer	
961	Springer book	
962	book Natural	
963	Engineering The	
964	Udo Udo	
965	most recent	
966	Group .	
967	natural language	
968	of such	
969	project is	
970	is an	
971	an example	
972	the extraction	
973	extraction of	
974	information from	
975	partially structured	
976	structured data	
977	a look	
978	look at	
979	is now	
980	Poesio Kruschwitz	
981	this project	
982	builds on	
983	the Minority	
984	Minority Rights	
985	Rights Group	
986	of London	
987	Transfer Partnership	
988	Partnership KTP	
989	aimed at	
990	of human	
991	the project	
992	in our	
993	LREC 2016	
994	here is	
995	This project	
996	in November	
997	about the	
998	a project	
999	. PEBL	
1000	PEBL AI	
1001	. Development	
1002	Development of	
1003	a KTP	
1004	Engineering and	
1005	Meetup in	
1006	in London	
1007	London Co	
1008	Co organiser	
1009	full papers	
1010	papers short	
1011	Committee and	
1012	and Doctoral	
1013	Doctoral Consortium	
1014	Committee NAACL	
1015	NAACL HLT	
1016	Committee Text2Story	
1017	Committee The	
1018	The Web	
1019	Web Conference	
1020	Track WSDM	
1021	Committee SwissText	
1022	SIGIR 2018	
1023	at SIGIR	
1024	Committee Games4NLP	
1025	LREC 2018	
1026	Committee ICTIR	
1027	18 workshop	
1028	Committee ISWC	
1029	2017 Co	
1030	Committee short	
1031	IR Track	
1032	SIGIR 2016	
1033	Committee Workshop	
1034	at JCDL	
1035	JCDL 2016	
1036	ECIR 2016	
1037	2015 Co	
1038	Committee Gamification	
1039	Organiser ECIR	
1040	Committee CLEF	
1041	News Recommender	
1042	Recommender Challenge	
1043	Challenge NEWSREEL	
1044	NEWSREEL Steering	
1045	Steering Committee	
1046	14 workshop	
1047	ECIR 2014	
1048	Organiser IIiX	
1049	Committee EACL	
1050	2014 Workshop	
1051	on Personalised	
1052	Personalised Multilingual	
1053	Committee KONVENS	
1054	2012 Industry	
1055	2012 Workshop	
1056	on Information	
1057	Student Research	
1058	Research Workshop	
1059	Committee STAIRS	
1060	ECIR 2011	
1061	Day Co	
1062	Chair ECIR	
1063	ECIR 2010	
1064	ACL 2010	
1065	2008 Organising	
1066	Organising Committee	
1067	external co	
1068	co supervisor	
1069	44 1206	
1070	Udo The	
1071	Kruschwitz Research	
1072	Information Research	
1073	Research Interests	
1074	Interests I	
1075	am a	
1076	the Language	
1077	Group LAC	
1078	LAC here	
1079	here at	
1080	at Essex	
1081	Essex most	
1082	recent 17th	
1083	17th LAC	
1084	Day 21st	
1085	21st September	
1086	September 2018	
1087	2018 earlier	
1088	earlier events	
1089	events 16th	
1090	16th LAC	
1091	Day 2017	
1092	2017 15th	
1093	15th LAC	
1094	Day 2016	
1095	2016 14th	
1096	14th LAC	
1097	Day 2015	
1098	2015 13th	
1099	13th LAC	
1100	Day 2014	
1101	2014 12th	
1102	12th LAC	
1103	Day 2013	
1104	2013 11th	
1105	11th LAC	
1106	Day 2012	
1107	2012 10th	
1108	10th LAC	
1109	Day 2011	
1110	2011 .	
1111	. Check	
1112	Check out	
1113	out the	
1114	the programme	
1115	programme of	
1116	our LAC	
1117	LAC Reading	
1118	Reading Group	
1119	. My	
1120	My research	
1121	research interests	
1122	interests are	
1123	in natural	
1124	language processing	
1125	processing NLP	
1126	NLP information	
1127	information retrieval	
1128	retrieval IR	
1129	IR and	
1130	the implementation	
1131	implementation of	
1132	such techniques	
1133	techniques in	
1134	in real	
1135	real applications	
1136	applications .	
1137	The intelligent	
1138	intelligent directory	
1139	directory enquiry	
1140	enquiry assistant	
1141	assistant YPA	
1142	YPA project	
1143	example going	
1144	going back	
1145	back quite	
1146	quite a	
1147	a few	
1148	few years	
1149	years now	
1150	now ...	
1151	... where	
1152	where the	
1153	of information	
1154	from partially	
1155	data together	
1156	together with	
1157	with engineering	
1158	engineering issues	
1159	issues played	
1160	played major	
1161	major roles	
1162	roles in	
1163	in making	
1164	making the	
1165	the YPA	
1166	YPA a	
1167	a usable	
1168	usable online	
1169	online system	
1170	system .	
1171	. I	
1172	am developing	
1173	developing techniques	
1174	techniques that	
1175	that allow	
1176	allow the	
1177	of conceptual	
1178	conceptual information	
1179	from document	
1180	document collections	
1181	collections and	
1182	the utilization	
1183	utilization of	
1184	such knowledge	
1185	knowledge in	
1186	in retrieval	
1187	retrieval tasks	
1188	tasks .	
1189	The type	
1190	type of	
1191	of documents	
1192	documents can	
1193	can range	
1194	range from	
1195	from Web	
1196	Web pages	
1197	pages to	
1198	to newspaper	
1199	newspaper articles	
1200	articles or	
1201	or other	
1202	other forms	
1203	forms of	
1204	of vaguely	
1205	vaguely partially	
1206	data .	
1207	. For	
1208	For an	
1209	example application	
1210	application that	
1211	that we	
1212	we had	
1213	had in	
1214	in place	
1215	place with	
1216	with BT	
1217	BT s	
1218	s mobile	
1219	mobile workforce	
1220	workforce have	
1221	at our	
1222	our log	
1223	log analysis	
1224	analysis study	
1225	study .	
1226	. Current	
1227	Current Projects	
1228	Projects Ongoing	
1229	Ongoing Collaboration	
1230	Collaboration A	
1231	A five	
1232	five year	
1233	year ESRC	
1234	ESRC Large	
1235	Large Grant	
1236	Grant on	
1237	on Human	
1238	Human Rights	
1239	Rights in	
1240	the Era	
1241	Era of	
1242	of Big	
1243	Big Data	
1244	Data is	
1245	now well	
1246	well underway	
1247	underway .	
1248	The Language	
1249	Group Fox	
1250	Fox Poesio	
1251	Kruschwitz plays	
1252	plays a	
1253	a significant	
1254	significant role	
1255	role in	
1256	in this	
1257	project which	
1258	which also	
1259	also builds	
1260	on our	
1261	our links	
1262	links with	
1263	. Watch	
1264	Watch this	
1265	this space	
1266	space A	
1267	A Centre	
1268	for Doctoral	
1269	Doctoral Training	
1270	Training CDT	
1271	CDT on	
1272	on Intelligent	
1273	Intelligent Games	
1274	Games and	
1275	and Game	
1276	Game Intelligence	
1277	Intelligence IGGI	
1278	IGGI offering	
1279	offering 55	
1280	55 PhD	
1281	PhD student	
1282	student scholarships	
1283	scholarships over	
1284	over 8	
1285	8 years	
1286	years is	
1287	is being	
1288	being funded	
1289	funded by	
1290	the EPSRC	
1291	EPSRC and	
1292	and supported	
1293	supported by	
1294	by our	
1295	our 60	
1296	60 industrial	
1297	industrial partners	
1298	partners .	
1299	. To	
1300	To find	
1301	out more	
1302	more explore	
1303	explore our	
1304	students profiles	
1305	profiles The	
1306	The CDT	
1307	CDT involves	
1308	involves the	
1309	of York	
1310	York the	
1311	Essex Queen	
1312	Queen Mary	
1313	Mary University	
1314	London and	
1315	and Goldsmiths	
1316	Goldsmiths College	
1317	College University	
1318	London .	
1319	. If	
1320	you want	
1321	want to	
1322	to know	
1323	know more	
1324	more drop	
1325	drop me	
1326	me an	
1327	an email	
1328	email A	
1329	A three	
1330	three year	
1331	year Knowledge	
1332	project 2014	
1333	2014 2017	
1334	2017 involving	
1335	Group and	
1336	and Essex	
1337	Essex Poesio	
1338	Kruschwitz aimed	
1339	at new	
1340	new systems	
1341	systems to	
1342	to support	
1343	support civilian	
1344	civilian led	
1345	led monitoring	
1346	monitoring of	
1347	human rights	
1348	rights violations	
1349	violations .	
1350	The Iraq	
1351	Iraq Ceasefire	
1352	Ceasefire Portal	
1353	Portal is	
1354	is one	
1355	one of	
1356	the major	
1357	major outcomes	
1358	outcomes of	
1359	The Corpus	
1360	Corpus of	
1361	of Violence	
1362	Violence Acts	
1363	Acts in	
1364	in Arabic	
1365	Arabic Social	
1366	Social Media	
1367	Media is	
1368	an academic	
1369	academic resource	
1370	resource described	
1371	described in	
1372	in more	
1373	more detail	
1374	detail in	
1375	our LREC	
1376	2016 paper	
1377	paper .	
1378	. A	
1379	A highly	
1380	highly successful	
1381	successful Knowledge	
1382	project 2013	
1383	2013 2015	
1384	2015 was	
1385	was the	
1386	the starting	
1387	starting point	
1388	point for	
1389	an ongoing	
1390	ongoing collaboration	
1391	collaboration with	
1392	with Signal	
1393	Signal Media	
1394	Media .	
1395	As the	
1396	University Lead	
1397	Lead PI	
1398	PI I	
1399	am pleased	
1400	pleased that	
1401	that Miguel	
1402	Miguel Martinez	
1403	Martinez Alvarez	
1404	Alvarez who	
1405	who joined	
1406	joined us	
1407	us as	
1408	as KTP	
1409	KTP Associate	
1410	Associate is	
1411	now Head	
1412	of Research	
1413	Research at	
1414	at Signal	
1415	Signal .	
1416	. Here	
1417	Here is	
1418	a timeline	
1419	timeline of	
1420	of some	
1421	some exciting	
1422	exciting news	
1423	news in	
1424	our collaboration	
1425	collaboration November	
1426	November 2014	
1427	2014 Miguel	
1428	Miguel is	
1429	is named	
1430	named a	
1431	a Business	
1432	Business Leader	
1433	Leader of	
1434	of Tomorrow	
1435	Tomorrow here	
1436	a short	
1437	short video	
1438	video portrait	
1439	portrait of	
1440	of Miguel	
1441	Miguel ...	
1442	... and	
1443	more coverage	
1444	coverage of	
1445	the event	
1446	event main	
1447	main actors	
1448	actors here	
1449	here .	
1450	. April	
1451	April 2015	
1452	2015 Best	
1453	Best demo	
1454	demo award	
1455	award at	
1456	2015 for	
1457	for Signal	
1458	Signal demo	
1459	demo and	
1460	and even	
1461	even more	
1462	more exciting	
1463	exciting Signal	
1464	Signal has	
1465	has just	
1466	just announced	
1467	announced that	
1468	that it	
1469	it has	
1470	has raised	
1471	raised 1.8m	
1472	1.8m growth	
1473	growth capital	
1474	capital from	
1475	from top	
1476	top tier	
1477	tier investors	
1478	investors see	
1479	see Techcrunch	
1480	Techcrunch .	
1481	. November	
1482	November 2015	
1483	2015 Signal	
1484	Signal project	
1485	project wins	
1486	wins Best	
1487	Best KTP	
1488	KTP Partnership	
1489	Partnership Award	
1490	Award 2015	
1491	2015 .	
1492	. February	
1493	February 2016	
1494	2016 Project	
1495	Project features	
1496	features on	
1497	on InnovateUK	
1498	InnovateUK s	
1499	s home	
1500	home page	
1501	page again	
1502	again .	
1503	. Another	
1504	Another landmark	
1505	landmark Signal	
1506	Signal closes	
1507	closes a	
1508	a 16m	
1509	16m Series	
1510	Series B	
1511	B funding	
1512	funding round	
1513	round .	
1514	. December	
1515	December 2018	
1516	2018 new	
1517	new KTP	
1518	project confirmed	
1519	confirmed to	
1520	to start	
1521	start in	
1522	in January	
1523	January 2019	
1524	2019 .	
1525	. Creating	
1526	Creating anaphorically	
1527	anaphorically annotated	
1528	annotated resources	
1529	resources through	
1530	through semantic	
1531	semantic wikis	
1532	wikis AnaWiki	
1533	AnaWiki EPSRC	
1534	EPSRC This	
1535	project has	
1536	has led	
1537	led to	
1538	the development	
1539	development of	
1540	of Phrase	
1541	Phrase Detectives	
1542	Detectives an	
1543	an annotation	
1544	annotation game	
1545	game aimed	
1546	at the	
1547	the creation	
1548	creation of	
1549	of semantically	
1550	semantically annotated	
1551	annotated corpora	
1552	corpora .	
1553	The DALI	
1554	DALI project	
1555	project builds	
1556	on the	
1557	the findings	
1558	findings and	
1559	and lessons	
1560	lessons learned	
1561	learned in	
1562	in PhraseDetectives	
1563	PhraseDetectives .	
1564	. Recent	
1565	Recent Research	
1566	Research Development	
1567	Development Projects	
1568	Projects The	
1569	The SENSEI	
1570	SENSEI FP7	
1571	FP7 project	
1572	project started	
1573	started in	
1574	November 2013	
1575	2013 and	
1576	and finished	
1577	finished in	
1578	November 2016	
1579	2016 .	
1580	The one	
1581	one line	
1582	line aim	
1583	aim of	
1584	is to	
1585	to make	
1586	make sense	
1587	sense of	
1588	human human	
1589	human conversation	
1590	conversation by	
1591	by for	
1592	for example	
1593	example applying	
1594	applying advanced	
1595	advanced natural	
1596	language engineering	
1597	engineering techniques	
1598	techniques such	
1599	as anaphora	
1600	anaphora resolution	
1601	resolution and	
1602	and multi	
1603	multi document	
1604	document summarization	
1605	summarization .	
1606	. Read	
1607	Read about	
1608	of SENSEI	
1609	SENSEI technology	
1610	technology to	
1611	to predict	
1612	predict the	
1613	the Brexit	
1614	Brexit results	
1615	results or	
1616	or if	
1617	if you	
1618	you prefer	
1619	prefer to	
1620	to read	
1621	read articles	
1622	articles in	
1623	in Polish	
1624	Polish have	
1625	at this	
1626	this one	
1627	one .	
1628	. Automatic	
1629	Automatic Adaptation	
1630	Adaptation of	
1631	of Knowledge	
1632	Knowledge Structures	
1633	Structures for	
1634	for Assisted	
1635	Assisted Information	
1636	Information Seeking	
1637	Seeking AutoAdapt	
1638	AutoAdapt a	
1639	Engineering Robert	
1640	Robert Gordon	
1641	Gordon University	
1642	University Aberdeen	
1643	Aberdeen and	
1644	the Open	
1645	Open University	
1646	University .	
1647	. This	
1648	project developed	
1649	developed and	
1650	and evaluated	
1651	evaluated methods	
1652	methods for	
1653	for adapting	
1654	adapting automatically	
1655	automatically constructed	
1656	constructed domain	
1657	domain models	
1658	models to	
1659	the population	
1660	population of	
1661	of users	
1662	users search	
1663	search or	
1664	or browsing	
1665	browsing behaviour	
1666	behaviour .	
1667	. Application	
1668	Application and	
1669	and large	
1670	large scale	
1671	scale evaluation	
1672	evaluation of	
1673	the developed	
1674	developed methods	
1675	methods in	
1676	in two	
1677	two information	
1678	information seeking	
1679	seeking scenarios	
1680	scenarios namely	
1681	namely interactive	
1682	interactive search	
1683	search and	
1684	and browsing	
1685	browsing were	
1686	were the	
1687	the focus	
1688	focus of	
1689	of this	
1690	AI is	
1691	project that	
1692	that follows	
1693	follows on	
1694	on from	
1695	the Patient	
1696	Patient Experience	
1697	Experience and	
1698	and Public	
1699	Public Engagement	
1700	Engagement Blogs	
1701	Blogs PEBL	
1702	PEBL project	
1703	AI will	
1704	will result	
1705	result in	
1706	in an	
1707	an automated	
1708	automated interface	
1709	interface between	
1710	between clinical	
1711	clinical commissioner	
1712	commissioner groups	
1713	groups CCGs	
1714	CCGs and	
1715	the communities	
1716	communities they	
1717	they serve	
1718	serve .	
1719	of a	
1720	a career	
1721	career path	
1722	path framework	
1723	framework a	
1724	and JobServe	
1725	JobServe the	
1726	the world	
1727	world s	
1728	s first	
1729	first Internet	
1730	Internet Recruitment	
1731	Recruitment Service	
1732	Service .	
1733	of an	
1734	an intelligent	
1735	intelligent mail	
1736	mail server	
1737	server a	
1738	and Active	
1739	Active Web	
1740	Web Solutions	
1741	Solutions AWS	
1742	AWS an	
1743	an Ipswich	
1744	Ipswich based	
1745	based company	
1746	company devoted	
1747	devoted to	
1748	to cutting	
1749	cutting edge	
1750	edge enterprise	
1751	enterprise information	
1752	information systems	
1753	systems .	
1754	. Learning	
1755	Learning Disabilities	
1756	Disabilities Data	
1757	Data and	
1758	and Information	
1759	Information Infrastructure	
1760	Infrastructure Project	
1761	Project ESRC	
1762	ESRC Markup	
1763	Markup Based	
1764	Based Knowledge	
1765	Extraction Project	
1766	Project EPSRC	
1767	EPSRC Intelligent	
1768	Intelligent Directory	
1769	Directory Enquiry	
1770	Enquiry YPA	
1771	YPA Project	
1772	Project BT	
1773	BT Current	
1774	Current Recent	
1775	Recent Involvements	
1776	Involvements Panel	
1777	Panel chair	
1778	chair of	
1779	the Karen	
1780	Karen Sp	
1781	Sp rck	
1782	rck Jones	
1783	Jones Award	
1784	Award here	
1785	is the	
1786	the most	
1787	recent call	
1788	call Committee	
1789	Committee member	
1790	member ...	
1791	... read	
1792	read more	
1793	more about	
1794	the IRSG	
1795	IRSG here	
1796	here Winter	
1797	Winter 2019	
1798	2019 IRSG	
1799	IRSG newsletter	
1800	newsletter Text	
1801	Text Analytics	
1802	Analytics Meetup	
1803	organiser Game	
1804	Game AI	
1805	AI Meetup	
1806	organiser ACL	
1807	ACL 2019	
1808	2019 Area	
1809	Area Chair	
1810	Chair for	
1811	for Resources	
1812	Resources and	
1813	and Evaluation	
1814	Evaluation ECIR	
1815	2019 Industry	
1816	Day Organiser	
1817	SIGIR 2019	
1818	demos workshops	
1819	workshops Industry	
1820	Track SIRIP	
1821	SIRIP ECIR	
1822	2019 Senior	
1823	Consortium Committee	
1824	HLT 2019	
1825	Text2Story 19	
1826	19 workshop	
1827	CHIIR 2019	
1828	Conference 2019	
1829	WSDM 2019	
1830	Committee Outstanding	
1831	Outstanding PC	
1832	PC member	
1833	member AAAI	
1834	AAAI 2019	
1835	Committee UISTDA	
1836	UISTDA 2019	
1837	SwissText 2019	
1838	Committee LDK	
1839	LDK 2019	
1840	Solutions 2018	
1841	2018 Co	
1842	Organiser EMNLP	
1843	EMNLP 2018	
1844	demos Professional	
1845	Professional Search	
1846	Search Workshop	
1847	Workshop ProfS2018	
1848	ProfS2018 at	
1849	Chair AIRS	
1850	AIRS 2018	
1851	Games4NLP 2018	
1852	2018 at	
1853	at LREC	
1854	Chair FDIA	
1855	FDIA 2018	
1856	Committee HCOMP	
1857	HCOMP 2018	
1858	ICTIR 2018	
1859	2018 Sponsorship	
1860	Sponsorship Co	
1861	Chair CHIIR	
1862	CHIIR 2018	
1863	Conference 2018	
1864	WSDM 2018	
1865	HLT 2018	
1866	CIKM 2018	
1867	2018 Senior	
1868	Committee Tutorials	
1869	Tutorials Demos	
1870	Demos DIR	
1871	DIR 2018	
1872	Text2Story 18	
1873	Committee Keynote	
1874	Keynote NewsIR	
1875	NewsIR 18	
1876	2018 Scientific	
1877	SwissText 2018	
1878	ISWC 2018	
1879	Solutions 2017	
1880	SIGIR 2017	
1881	demos tutorials	
1882	tutorials Outstanding	
1883	Outstanding Reviewer	
1884	Reviewer Award	
1885	Award RANLP	
1886	RANLP 2017	
1887	Committee FDIA	
1888	FDIA 2017	
1889	Committee AIRS	
1890	AIRS 2017	
1891	papers Mindtrek	
1892	Mindtrek 2017	
1893	2017 Data	
1894	Data Driven	
1895	Driven Gamification	
1896	Gamification Design	
1897	Design Worksop	
1898	Worksop Programme	
1899	CIKM 2017	
1900	ISWC 2017	
1901	Games4NLP 2017	
1902	ECIR 2017	
1903	2017 Senior	
1904	Committee Short	
1905	Short Papers	
1906	Papers Demos	
1907	Demos Industry	
1908	Day co	
1909	co chair	
1910	chair WWW	
1911	WWW 2017	
1912	Track ESWC	
1913	ESWC 2017	
1914	Chair NLP	
1915	NLP IR	
1916	Track MultiLing	
1917	MultiLing 2017	
1918	CHIIR 2017	
1919	Committee MMM	
